roi,r,p,metric
7Networks_LH_Vis_1,0.13721684772088585,0.7054261718779888,Views
7Networks_LH_Vis_2,0.14541897353844493,0.6885379178015834,Views
7Networks_LH_Vis_3,-0.006707580668644533,0.9853278274243037,Views
7Networks_LH_Vis_4,-0.021233466945851223,0.9535727270364975,Views
7Networks_LH_Vis_5,0.024414951473247737,0.9466241180596474,Views
7Networks_LH_Vis_6,0.14656016378685535,0.6861978011793857,Views
7Networks_LH_Vis_7,0.0049090033560142965,0.9892618139333924,Views
7Networks_LH_Vis_8,0.29217905929311994,0.41268298545171295,Views
7Networks_LH_Vis_9,0.11646352640882882,0.748663560096813,Views
7Networks_LH_Vis_10,-0.015426802367207854,0.9662618997893622,Views
7Networks_LH_Vis_11,0.20484669710494846,0.5702325009581654,Views
7Networks_LH_Vis_12,0.1881316564843721,0.602721066042451,Views
7Networks_LH_Vis_13,-0.027863360642306996,0.9390961969718205,Views
7Networks_LH_Vis_14,0.09244952498133861,0.7994862893494605,Views
7Networks_LH_Vis_15,0.20118832300037703,0.5772858781047949,Views
7Networks_LH_Vis_16,0.07736955161052966,0.8317635862733925,Views
7Networks_LH_Vis_17,0.2023758699177305,0.5749926867868574,Views
7Networks_LH_Vis_18,0.2322930586006059,0.5184019353661927,Views
7Networks_LH_Vis_19,0.09719936097863134,0.7893738436496355,Views
7Networks_LH_Vis_20,0.060180108308028314,0.8688317458034989,Views
7Networks_LH_Vis_21,0.189611674157621,0.599817789531368,Views
7Networks_LH_Vis_22,0.0333944015779408,0.927031156677891,Views
7Networks_LH_Vis_23,0.08281596122042781,0.8200774625300045,Views
7Networks_LH_Vis_24,0.3053824955581391,0.3908661680704051,Views
7Networks_LH_Vis_25,0.2730666790988804,0.44524972066716517,Views
7Networks_LH_Vis_26,0.1707007770861131,0.637283783738418,Views
7Networks_LH_Vis_27,0.18623906214144992,0.6064410014955044,Views
7Networks_LH_Vis_28,0.046835505907227876,0.8977717717475983,Views
7Networks_LH_Vis_29,0.31648700213027736,0.3729616297951233,Views
7Networks_LH_Vis_30,0.18116744409116362,0.6164494056583047,Views
7Networks_LH_Vis_31,0.26207684209596976,0.46448694692126696,Views
7Networks_LH_SomMot_1,0.04432460589335685,0.9032301947757986,Views
7Networks_LH_SomMot_2,0.05434947440684726,0.8814610862671295,Views
7Networks_LH_SomMot_3,0.23748710148429536,0.5088188000432212,Views
7Networks_LH_SomMot_4,0.05546317702959739,0.8790468296554815,Views
7Networks_LH_SomMot_5,0.3297798877887722,0.35207463263484895,Views
7Networks_LH_SomMot_6,0.06510695202916933,0.858180721015894,Views
